S.No,text,Label
1,Thappu chesina vaallaku vanike kaadu inka anni modalithavi  . Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga.,hate
2,Dhusta chaathuryam!  Meeru ilantivi enni chesina em pikalerra!,hate
3,Vetakaram super. Govt ki siggu seram radu. Endukante siggu seram manushulaku mathrme vuntundani na abiprayam.,hate
4,Only rajakiyam ga vadukovatanike ee dharidrapu arestlu,hate
5,Katam hogaya narayana pedda bokada college,hate
6,TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD,non-hate
7,Nenu aite Jabardast show chudadam manesanu TV 5 ABN channels lo debates vchinaka ,non-hate
8,Jagan meeda jaganke visvasam ledu anduke ea loffer panulu,hate
9,Students tho adukovtam thappu,non-hate
10,Srinivasa gaaru endukee panikamaalina debate... Aa sambaki paniledu... Meeku jeetam kavaali ..makenti gola... Anni exams happy ga jariginai... problem meeu creat cheyyavaddu,hate
11,Meru mi media published cheyadam vallane elanti idea lu vastai vallaki,non-hate
12,"One of the Great Leader, A Big Salute Sir.,,",non-hate
13,"Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu..
Edhi ee society andhukaa makky ""HE TEAM"" kavalli ",hate
14,Paniki malina chana,hate
15,"Rosayya garu is a real, Good and true politician. History lo oka great leader Rosayya garu. No words to praise you sir. Rip Rosayya garu",non-hate
16,Telangana gujju gulam kadu,hate
17,Disevulera mundamopi,hate
18,"Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,",hate
19,Down To Earth Man Rosaiah Garu,non-hate
20,Jagan is unstoppable ,non-hate
21,"RK eagerly waiting to demoralise Jagan, that is his intention",hate
22,Vedi nathinakodaka,hate
23,Vizag News reporter overaction chestunadu,hate
24,Revanth Reddy garu has very clarity in his thoughts... excellent way of expressing himself ,non-hate
25,Mahesh smile ...pure soul,non-hate
26,Kanipinche devudu CBN,non-hate
27,Die hard fan frm Kerala  Nenu choosina pedha actor uh Tollywood lo Pawan Garuu,non-hate
28,Anna....Nee lanti vaale kavali .... TDPki,non-hate
29,Babulake Baabu Super star Mahesh Baabu ,non-hate
30,Jai Pawan Kalyan Garu. Pawan Ji in Andhra and Modi Ji in centre. Perfect Combo🇮🇳🇮🇳  I am a big fan of sir from Delhi. I wish we had someone like him in Delhi.,non-hate
31,Sir ycp ki balle gunapam dimputunavu,hate
32,"Harish Rao garu adiginatlu, Kaleswaram project pai, CBI inquiry veyali",non-hate
33,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate
34,Pavan Kalyan gari nayakatvam vardillali jai power star ,non-hate
35,Sagam kaalchina chutta peekalaku brand amsador,hate
36,Bjp central lo vachi yemi chesinru chepu,hate
37,PK navu janmmalo ward member kuda Kaledu,hate
38,Lancham antunaru anam garu...... inthaku mundu your government ilagey chesinda...,hate
39,Jagan eppatiki CM avvaledu raasi pettukoo....ha ....,hate
40,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate
41,Ka pal garu miru super,non-hate
42,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate
43,No 1 loafer. Jai TDP-Lokesh,hate
44,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru,non-hate
45,Vammo mamulodivi kadu swamy Nuvvu,non-hate
46,Manalli yavadu ra apeddi,non-hate
47,Poraaa..Red Flower...,hate
48,He has more talking power Aina daivajanulato anta easy kadu mari,non-hate
49,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge ,non-hate
50,Idira pual power anty ippudina telusukondra,non-hate
51,Ramu garu correct  ga chepparu sir,non-hate
52,Nuvvu bjp b party ra houle,hate
53,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate
54,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate
55,tc rate penchadam kadu...udyamalu cheyakunda... employees kastapadithe development avutundi...,hate
56,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan thana cinema dabbulu pedhavallaki pancharu,non-hate
57,Aallu eellu andaru okkate,non-hate
58,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,non-hate
59,Miru kada ra janalni mosam chesedhi ,hate
60,NENUKUDA.PEDHAVADENE.UPADHE.LEDHU.VUDHYOGAM.LEDHU.PANULU.EKUVA.DHORUKADAMLEDHU,non-hate
61,Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024,hate
62,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate
63,Asalem matladuthunnavo neekanna ardham ayithundha ,hate
64,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate
65,America Agent Jelensky....deshanni nashanam chesthunnadu.,hate
66,Power Lo undi evaru ra vedava,hate
67,Torch lite Kuda Leni rojula fake news vadu kavalane chesind,hate
68,Prajalu andaru sachinanka peekedemiledu,hate
69, amarica andatho madam perigi kotukuntundi urikine,hate
70,CHETTHAPLAN.  RAAKSHASHATHVAM,hate
71,Anna nuvu chepthuntevoka emotion vasthundanna,non-hate
72,"India an Russia are best friendly countries evaru dislike chesaro vallu pak , america nd china ollu ",non-hate
73,Easy vochina success ni scam antarau.. Emi chepparu bhayya.. Love it,non-hate
74,Niyamtruthva leaders time konni rojule.,non-hate
75,"samsaram kadu, adi vebhicharam",hate
76,Nice baaga dhimpav Anchor bro.,hate
77,Mari aa sangathi thelisi antha madham yendhukura niku.... Vaaru garu antunnaav....gnanodhayamyndhi koddhiga....,hate
78,""" MAA"" president ga gelipiste yedo peekutanu annadu yemi peekaadu ...yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi ..apdbaandhavudu ..andarivadu..annayya ..jai chiranjeevi..andariki mere """" GOD FATHER """"",hate
79,One and only Mega star .....Potthi leyru....Raleyru,non-hate
80,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,hate
81,"Chiranjeevi gaaru meeru eppudu greate mi manasu, mi saayam, mi kalmasham leni vyakthitwam, mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi",non-hate
82,Paul mosapoyadu....RGV ellipoyadu...anchor biskit ayadu gist of this non sense,hate
83,"Official ga 600 acres ante, unofficial GA enno, okko family member peru meedha enni ekaraalu unnayo.. Raitu bandhu okkati chalu,",hate
84,Real joker re unnadu kada malli sir ,hate
85,Mallareddy Dookudu cenima lo bramhi character correct set aithadu,non-hate
86,Madyalo Aa sound effects matram next level.. ,non-hate
87,E endaku aa Godugu padutunnadu.....itlaanti vaadini ekkada unchalo akkada unchali...YCP vallu ade chesaru....,hate
88,Prudhvi sir very good man now.....sir thana thappu thelisikunnaru...,non-hate
89,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi,hate
90,"Dear, ETV Variki , Dear, Gnapika Entertainment's Variki , Dear, Ali Gariki , Sir, Adivi Sesh Gariki , Madam, Saiee Manjrekar Gariki ",non-hate
91,Telugu lo sesh chala intelligent screenplay writer .. Chala talent vundhi manodiki,non-hate
92,"Ma kharma .. rastani palinche mantrulu malla Reddy,gangula,talasani meeku oka dandam ra babu",hate
93,Gudivada king true leader,non-hate
94,Elders ki respect lekunda matladina vaadu Oka hero...,hate
95,"Power loki vachaka prajala paina kallu petti thokkutharuu,",hate
96,Assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,hate
97,Miru chala great man. Simham munduku kukkalu ravu sir. Love you soo much.. Bratiki konnirojulaina ilane vundali.. Love you,non-hate
98,"Super sathi garu,mee action superb..chala enjoy chesthunnamu.",non-hate
99,Arey budder khan nuvvu asalu ,hate
100,Venki anna yekkada unna haa Joshi veru,non-hate
101,"Permit room lu enduku pettirru 
Thaginanka oka beer tho aguthara",hate
102,Kaveri jah kadu ra adi evarro kudo teliduuu jafa,hate
103,Wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,hate
